ts,sym,mid,spread,book_imb,near_imb,far_imb,depth_usd,near_depth,trade_imb,trade_usd,n_trades,big_share
1787671117118,BTC/USDT:USDT,79135.75,1.263651383929776e-06,0.32583122541945825,0.13387645540153564,0.13387645540153564,549123.0438999999,1070158.7495,0.18140986443758386,453602.5599,276,0.8035593800007564
1787671117119,ETH/USDT:USDT,2471.605,4.0459539449945595e-06,0.04244534480007638,-0.08276454807470605,-0.08276454807470605,551933.72254,1979893.1341,0.5322291645754755,555139.08507,602,0.9387361363040911
1787671117119,SOL/USDT:USDT,97.89500000000001,0.00010215026303697957,-0.0914685507866814,-0.03223361138579559,-0.007380469232486043,7906190.7823,3630091.3447,0.8721638073700602,89913.4538,264,0.8650757257419467
1787671117119,XRP/USDT:USDT,1.4686499999999998,6.808974228031799e-05,-0.08974683122319656,-0.10077112620118922,-0.18441465045394917,2243220.05174,1781647.04413,0.9021572634981115,42251.02963999999,213,0.8478542001278434
1787671117119,ZEC/USDT:USDT,809.255,1.2357044442099098e-05,0.045843182612832226,0.19314591389032365,0.19314591389032365,48185.94007,227572.60283000002,0.443731078555233,53509.546969999996,367,0.7364735495162051
1787671117119,HYPE/USDT:USDT,80.9235,1.2357349842811726e-05,-0.0933456781595679,-0.6446246073497169,-0.6446246073497169,100243.79794,966808.59262,-0.5780083712303203,135288.75406,369,0.7273819338032862
1787671117119,DOGE/USDT:USDT,0.088835,0.00011256824449818342,0.07179182228329796,0.007837373485371002,0.0008779614896562849,1538731.35528,660250.81485,0.9650147452481405,33071.09147,167,0.9291291869781159
1787671117119,BNB/USDT:USDT,697.835,1.4330035036922631e-05,-0.5626488722164134,-0.16721669936718647,-0.16721669936718647,208865.87,686044.0897,0.387185133955888,7605.746300000001,90,0.7486204871177466
1787671117119,1000PEPE/USDT:USDT,0.00395545,2.5281573524986062e-05,0.5339489235871218,0.3975291331299416,0.3440033554604873,44532.4582566,162857.2531431,0.9467083101972397,25408.8008095,260,0.7215184478499896
1787671117119,PROM/USDT:USDT,4.115,0.0004860267314701773,0.0057192803366312986,-0.3300431420953835,0.0057192803366312986,78733.5947,15615.769099999998,0.3380321388603566,7509.4262,74,0.43978280257951
1787671117119,TRUMP/USDT:USDT,2.2895000000000003,0.0004367765887747935,-0.07839948603947339,0.2793636713980047,-0.009311317909545003,1661914.52396,111732.38823,0.10089028743269132,11808.00898,60,0.6590474578043554
1787671117120,ONG/USDT:USDT,0.105615,9.468352033338069e-05,-0.16027151600852985,0.11446604075539991,-0.15358907246353679,43706.67374,18987.47948,0.09250316693525314,76287.76899000001,1038,0.4400426303514056
1787671117120,ENA/USDT:USDT,0.14630500000000002,6.835036396556676e-05,-0.1237733825966341,-0.10931478005773008,-0.035658027218139196,140990.39829,106639.38320000001,0.7415637102951101,11043.85349,124,0.7633455095753899
1787671117120,PUMP/USDT:USDT,0.0046495,0.00021507688998801276,0.016143801386982917,-0.08321693929299209,0.017270450894891255,469103.658145,62611.429491,-0.6003118885365674,30045.065789,195,0.5326463945989798
1787671117120,SUI/USDT:USDT,0.78955,0.0001266544234057235,-0.09760367437656678,0.1033671441042185,-0.0938754034155364,996077.71317,316296.17683,0.9751125258331774,8387.68284,51,0.8205646614554157
1787671117120,CRCL/USDT:USDT,90.38499999999999,0.0001106378270731329,0.20996793085150445,0.3577221564895763,0.17362270471272997,411033.20849999995,226301.55479999998,0.4249439843168073,2920.1196999999997,23,0.5289489331550348
1787671117120,DRAM/USDT:USDT,55.955,0.00017871503887048542,-0.014887573360297546,-0.07293577125752941,-0.04957114837308023,3780408.4479,1266087.3726,-1.0,1870.5704,9,0.0
1787671117120,MSTR/USDT:USDT,126.505,7.90482589621368e-05,-0.059562824010611325,-0.07926993190759524,0.025940416183736128,343412.364,173826.22980000003,0.980598926791667,47601.1399,59,0.7948343711827792
1787671117120,SOXS/USDT:USDT,48.724999999999994,0.0002052334530528068,-0.08995757976884633,0.07614033641486041,-0.08485557901634343,992413.4512,139369.9135,0.9114865504807043,13145.191,75,0.4873122802095458
1787671117120,BZ/USDT:USDT,87.785,0.0001139146779063065,0.023161037137676185,-0.2679539405258805,0.2077511220194194,1830592.4233,828076.2629,0.6853238098735983,15348.0357,28,0.6804499418775785
